PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;18;30;28079018_30_59;2019;10;1;000.4;V;000.3;V;000.1;V;000.2;V;000.2;V;000.1;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.3;V;000.3;V;000.5;V;000.6;V;000.4;V
28;79;18;35;28079018_35_59;2019;10;1;000.3;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.2;V
28;79;24;1;28079024_1_38;2019;10;1;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V
28;79;24;6;28079024_6_48;2019;10;1;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.2;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;24;7;28079024_7_8;2019;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;3;V;4;V;4;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;24;8;28079024_8_8;2019;10;1;26;V;15;V;6;V;6;V;6;V;6;V;6;V;8;V;9;V;9;V;18;V;15;V;13;V;12;V;12;V;8;V;5;V;8;V;11;V;12;V;16;V;18;V;23;V;28;V
28;79;24;9;28079024_9_47;2019;10;1;6;V;8;V;10;V;9;V;13;V;12;V;13;V;12;V;11;V;13;V;12;V;12;V;11;V;11;V;8;V;8;V;7;V;3;V;5;V;1;V;3;V;2;V;4;V;5;V
28;79;24;10;28079024_10_47;2019;10;1;14;V;18;V;23;V;19;V;23;V;21;V;21;V;20;V;19;V;21;V;23;V;26;V;22;V;21;V;17;V;15;V;15;V;14;V;11;V;14;V;15;V;7;V;8;V;10;V
28;79;24;12;28079024_12_8;2019;10;1;28;V;17;V;8;V;8;V;8;V;8;V;8;V;10;V;10;V;11;V;25;V;20;V;20;V;18;V;16;V;10;V;7;V;9;V;13;V;13;V;17;V;19;V;24;V;29;V
28;79;24;14;28079024_14_6;2019;10;1;42.46;V;50.97;V;59.52;V;55.93;V;50.81;V;47.80;V;44.24;V;40.02;V;40.87;V;40.08;V;35.66;V;48.94;V;56.48;V;62.12;V;67.39;V;75.29;V;77.14;V;73.08;V;59.54;V;49.87;V;40.77;V;36.64;V;28.07;V;21.74;V
28;79;24;20;28079024_20_59;2019;10;1;001.1;V;000.8;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.6;V;000.7;V;000.4;V;000.3;V;000.4;V;000.3;V;000.2;V;000.4;V;000.3;V;000.3;V;000.4;V;000.6;V;001.0;V
28;79;24;30;28079024_30_59;2019;10;1;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V
28;79;24;35;28079024_35_59;2019;10;1;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V
