PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;18;20;28079018_20_59;2017;10;01;002.3;V;001.5;V;000.5;V;000.7;V;000.7;V;000.5;V;000.6;V;001.4;V;001.2;V;002.4;V;001.6;V;000.7;V;000.7;V;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.6;V;000.7;V;002.1;V;002.2;V;001.7;V
28;079;18;30;28079018_30_59;2017;10;01;000.4;V;000.3;V;000.1;V;000.2;V;000.2;V;000.1;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.3;V;000.3;V;000.5;V;000.6;V;000.4;V
28;079;18;35;28079018_35_59;2017;10;01;000.3;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.2;V
28;079;24;1;28079024_1_38;2017;10;01;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V
28;079;24;6;28079024_6_48;2017;10;01;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.2;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V
28;079;24;7;28079024_7_8;2017;10;01;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00005;V;00003;V;00004;V;00004;V;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V
28;079;24;8;28079024_8_8;2017;10;01;00026;V;00015;V;00006;V;00006;V;00006;V;00006;V;00006;V;00008;V;00009;V;00009;V;00018;V;00015;V;00013;V;00012;V;00012;V;00008;V;00005;V;00008;V;00011;V;00012;V;00016;V;00018;V;00023;V;00028;V
28;079;24;9;28079024_9_47;2017;10;01;00006;V;00008;V;00010;V;00009;V;00013;V;00012;V;00013;V;00012;V;00011;V;00013;V;00012;V;00012;V;00011;V;00011;V;00008;V;00008;V;00007;V;00003;V;00005;V;00001;V;00003;V;00002;V;00004;V;00005;V
28;079;24;10;28079024_10_47;2017;10;01;00014;V;00018;V;00023;V;00019;V;00023;V;00021;V;00021;V;00020;V;00019;V;00021;V;00023;V;00026;V;00022;V;00021;V;00017;V;00015;V;00015;V;00014;V;00011;V;00014;V;00015;V;00007;V;00008;V;00010;V
28;079;24;12;28079024_12_8;2017;10;01;00028;V;00017;V;00008;V;00008;V;00008;V;00008;V;00008;V;00010;V;00010;V;00011;V;00025;V;00020;V;00020;V;00018;V;00016;V;00010;V;00007;V;00009;V;00013;V;00013;V;00017;V;00019;V;00024;V;00029;V
28;079;24;14;28079024_14_6;2017;10;01;42.46;V;50.97;V;59.52;V;55.93;V;50.81;V;47.80;V;44.24;V;40.02;V;40.87;V;40.08;V;35.66;V;48.94;V;56.48;V;62.12;V;67.39;V;75.29;V;77.14;V;73.08;V;59.54;V;49.87;V;40.77;V;36.64;V;28.07;V;21.74;V
28;079;24;20;28079024_20_59;2017;10;01;001.1;V;000.8;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.6;V;000.7;V;000.4;V;000.3;V;000.4;V;000.3;V;000.2;V;000.4;V;000.3;V;000.3;V;000.4;V;000.6;V;001.0;V
28;079;24;30;28079024_30_59;2017;10;01;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V
28;079;24;35;28079024_35_59;2017;10;01;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V
28;079;24;42;28079024_42_2;2017;10;01;01.27;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.27;V;01.30;V;01.28;V;01.27;V;01.25;V;01.24;V;01.23;V;01.23;V;01.23;V;01.23;V;01.23;V;01.22;V;01.23;V;01.25;V;01.26;V
28;079;24;43;28079024_43_2;2017;10;01;01.18;V;01.19;V;01.21;V;01.21;V;01.21;V;01.21;V;01.21;V;01.21;V;01.21;V;01.21;V;01.23;V;01.21;V;01.20;V;01.19;V;01.17;V;01.16;V;01.16;V;01.16;V;01.15;V;01.16;V;01.15;V;01.16;V;01.18;V;01.18;V
28;079;24;44;28079024_44_2;2017;10;01;00.09;V;00.07;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.06;V;00.06;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.08;V;00.07;V;00.07;V;00.07;V;00.07;V;00.08;V
28;079;27;7;28079027_7_8;2017;10;01;00005;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00006;V;00014;V;00008;V;00002;V;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00007;V;00010;V;00013;V;00004;V
28;079;27;8;28079027_8_8;2017;10;01;00039;V;00004;V;00006;V;00004;V;00004;V;00007;V;00013;V;00034;V;00040;V;00045;V;00025;V;00012;V;00006;V;00008;V;00003;V;00003;V;00003;V;00004;V;00013;V;00010;V;00047;V;00059;V;00056;V;00038;V
